Student_ID,Name,Age,Education,Job_Status,Enrolled,Family_Income_LPA,Govt_Job,Skills,Preferred_Location,College_Tier,CGPA,Email,Eligibility_Status
S001,Aarav Kumar,24,ITI,Employed Full-Time,No,9.9,No,SQL,Mumbai,Tier 1,8.5,s001@gmail.com,Eligible
S002,Arjun Kumar,20,BCA,Employed Full-Time,No,2.4,No,Marketing,Bangalore,Tier 2,8.11,s002@gmail.com,Eligible
S003,Divya Kumar,21,BBA,Employed Full-Time,No,7.4,Yes,Excel,Mumbai,Tier 1,8.04,s003@gmail.com,Eligible
S004,Sneha Kumar,20,Diploma,Employed Full-Time,No,8.3,Yes,Excel,Pune,Tier 3,7.07,s004@gmail.com,Not Eligible
S005,Meera Kumar,24,BBA,Unemployed,No,5.5,No,Power BI,Coimbatore,Tier 2,6.05,s005@gmail.com,Not Eligible
S006,Ananya Kumar,21,B.Sc,Unemployed,No,2.2,No,AutoCAD,Mumbai,Tier 2,8.9,s006@gmail.com,Not Eligible
S007,Ananya Kumar,24,B.Sc,Part-time,No,8.1,Yes,AutoCAD,Coimbatore,Tier 1,7.38,s007@gmail.com,Eligible
S008,Divya Kumar,25,ITI,Part-time,No,4.6,No,SQL,Pune,Tier 3,8.35,s008@gmail.com,Eligible
S009,Karthik Kumar,22,B.Com,Part-time,No,2.4,No,Excel,Pune,Tier 3,6.86,s009@gmail.com,Eligible
S010,Arjun Kumar,23,ITI,Employed Full-Time,No,4.8,Yes,Marketing,Kolkata,Tier 1,7.62,s010@gmail.com,Eligible
S011,Arjun Kumar,21,B.Tech,Part-time,No,2.7,Yes,Excel,Mumbai,Tier 2,7.23,s011@gmail.com,Not Eligible
S012,Priya Kumar,25,Diploma,Part-time,No,4.5,No,Marketing,Kolkata,Tier 1,9.11,s012@gmail.com,Not Eligible
S013,Karthik Kumar,25,B.Sc,Part-time,No,8.1,Yes,SQL,Coimbatore,Tier 3,7.27,s013@gmail.com,Eligible
S014,Rohit Kumar,25,BBA,Unemployed,No,7.9,Yes,Marketing,Coimbatore,Tier 1,9.19,s014@gmail.com,Not Eligible
S015,Ananya Kumar,22,BA,Employed Full-Time,No,8.9,No,Excel,Kolkata,Tier 2,7.71,s015@gmail.com,Eligible
S016,Meera Kumar,22,BBA,Unemployed,No,8.5,Yes,Java,Bangalore,Tier 2,7.42,s016@gmail.com,Eligible
S017,Rohit Kumar,24,B.Sc,Employed Full-Time,No,5.7,Yes,Excel,Mumbai,Tier 2,9.03,s017@gmail.com,Not Eligible
S018,Ananya Kumar,24,BBA,Employed Full-Time,No,8.3,No,Excel,Chennai,Tier 1,8.95,s018@gmail.com,Not Eligible
S019,Divya Kumar,22,BBA,Part-time,No,2.7,No,Power BI,Chennai,Tier 2,9.32,s019@gmail.com,Eligible
S020,Arjun Kumar,25,B.Sc,Employed Full-Time,No,5.6,Yes,Power BI,Hyderabad,Tier 1,8.14,s020@gmail.com,Eligible
S021,Meera Kumar,23,B.Sc,Part-time,No,3.7,No,Excel,Coimbatore,Tier 3,6.15,s021@gmail.com,Eligible
S022,Divya Kumar,22,B.Com,Part-time,No,6.6,No,AutoCAD,Bangalore,Tier 2,7.34,s022@gmail.com,Eligible
S023,Arjun Kumar,21,ITI,Unemployed,No,9.4,Yes,SQL,Kolkata,Tier 3,7.81,s023@gmail.com,Eligible
S024,Aarav Kumar,21,B.Tech,Unemployed,No,8.4,No,Power BI,Coimbatore,Tier 2,7.21,s024@gmail.com,Not Eligible
S025,Aarav Kumar,24,BBA,Unemployed,No,2.4,Yes,Power BI,Mumbai,Tier 2,6.65,s025@gmail.com,Not Eligible
S026,Arjun Kumar,24,B.Sc,Part-time,No,2.8,No,Python,Kolkata,Tier 2,6.0,s026@gmail.com,Eligible
S027,Arjun Kumar,25,BBA,Unemployed,No,4.1,No,SQL,Mumbai,Tier 2,6.36,s027@gmail.com,Eligible
S028,Rohit Kumar,22,BA,Unemployed,No,2.7,No,Marketing,Hyderabad,Tier 1,6.93,s028@gmail.com,Not Eligible
S029,Ananya Kumar,25,BBA,Unemployed,No,9.3,Yes,AutoCAD,Coimbatore,Tier 2,8.14,s029@gmail.com,Eligible
